"subject" "activity" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAcc-min()-X" "tBodyAcc-min()-Y" "tBodyAcc-min()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAcc-min()-X" "tGravityAcc-min()-Y" "tGravityAcc-min()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerk-min()-X" "tBodyAccJerk-min()-Y" "tBodyAccJerk-min()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyro-min()-X" "tBodyGyro-min()-Y" "tBodyGyro-min()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerk-min()-X" "tBodyGyroJerk-min()-Y" "tBodyGyroJerk-min()-Z" "tBodyAccMag-std()" "tBodyAccMag-min()" "tGravityAccMag-std()" "tGravityAccMag-min()" "tBodyAccJerkMag-std()" "tBodyAccJerkMag-min()" "tBodyGyroMag-std()" "tBodyGyroMag-min()" "tBodyGyroJerkMag-std()" "tBodyGyroJerkMag-min()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-min()-X" "fBodyAcc-min()-Y" "fBodyAcc-min()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-min()-X" "fBodyAccJerk-min()-Y" "fBodyAccJerk-min()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-min()-X" "fBodyGyro-min()-Y" "fBodyGyro-min()-Z" "fBodyAccMag-std()" "fBodyAccMag-min()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-min()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-min()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-min()"
1 "LAYING" -0.9280564692 -0.83682740562 -0.826061401628 0.74306899108 0.5848976723 0.75773578404 -0.8968300184 -0.90772000676 -0.85236629022 -0.236157682494 0.6921133129 0.4138740328 -0.958482112 -0.9241492736 -0.9548551108 0.9477450884 0.926607198 0.9302030164 -0.87354386782 -0.9510904402 -0.9082846626 0.708446844378 0.887341246 0.7702035598 -0.9186085208 -0.9679072436 -0.9577901596 0.89212957908 0.9668705628 0.9630757622 -0.79514486386 -0.9473611532 -0.79514486386 -0.9473611532 -0.9282456284 -0.976230124 -0.81901016976 -0.9096779542 -0.9358409828 -0.983709768 -0.9244374346 -0.8336255561 -0.81289155944 -0.9645797746 -0.9412311828 -0.9470157928 -0.9641607086 -0.9322178704 -0.9605869872 -0.9844682058 -0.967274797 -0.9705455 -0.8822964508 -0.9512320494 -0.9165825082 -0.9259027828 -0.9750025224 -0.9568902732 -0.7983009404 -0.9351469296 -0.9218039756 -0.9608852698 -0.82431943968 -0.89432758868 -0.9326606676 -0.9730977224
2 "LAYING" -0.974059464791667 -0.98027739875 -0.984233296875 0.821333087083333 0.683942196458333 0.838955082083333 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.469052540208333 0.764376011041667 0.644932617291667 -0.98587216875 -0.98317254125 -0.988442014375 0.981766123333333 0.984835539791667 0.984601980833333 -0.988275232916667 -0.982291608958333 -0.960306560416667 0.843315969166667 0.898140824166667 0.825742531666667 -0.993235849166667 -0.989567537916667 -0.98803582125 0.992272077708333 0.990880804583333 0.988461009375 -0.972873912916667 -0.9916941025 -0.972873912916667 -0.9916941025 -0.98551807625 -0.980756738541667 -0.961164053958333 -0.937238516875 -0.989718095208333 -0.990101760833333 -0.973246482083333 -0.981025105625 -0.984792185 -0.9745801775 -0.989764974791667 -0.986975118541667 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.990536677291667 -0.989875808541667 -0.982268885 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.992608919375 -0.990914200625 -0.969269055833333 -0.975121387916667 -0.973997697083333 -0.984568489166667 -0.981457166875 -0.96109837875 -0.975057641666667 -0.989492660416667 -0.992251989583333
3 "LAYING" -0.982776639193548 -0.962057544516129 -0.96369103483871 0.832767688064516 0.670005695 0.827783473709677 -0.982512193064516 -0.981202749677419 -0.964807543870968 -0.200734559516129 0.846302243548387 0.480051922741935 -0.98087931483871 -0.968710724677419 -0.982093162903226 0.975176638870968 0.971877268225806 0.977198316290323 -0.974545752096774 -0.977272653709677 -0.963505609032258 0.826908741290323 0.898130154354839 0.823396676935484 -0.980328645 -0.986762741935484 -0.983338279516129 0.9809461 0.988203479193548 0.983223479354839 -0.964218176451613 -0.989182793548387 -0.964218176451613 -0.989182793548387 -0.976121297903226 -0.974984866451613 -0.954275110967742 -0.948266954354839 -0.983139255645161 -0.987310026612903 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.987566249516129 -0.985822782903226 -0.983148220967742 -0.983122615967742 -0.971044012741936 -0.983711904677419 -0.989451442580645 -0.984882120483871 -0.981308137419355 -0.975986433709677 -0.977032495483871 -0.967256854193548 -0.991670991290323 -0.990593141612903 -0.972274458225806 -0.968350217419355 -0.980710190322581 -0.975305377903226 -0.97962511016129 -0.955441855806452 -0.971966651290323 -0.982568158064516 -0.990279437096774
4 "LAYING" -0.954193738888889 -0.941714042407407 -0.962667314814815 0.795296876277778 0.666114172962963 0.826098314074074 -0.921199965925926 -0.969816635740741 -0.976176608888889 -0.387814021666667 0.914977656851852 0.336816828907407 -0.978302781111111 -0.942209488333333 -0.978511984259259 0.976463395185185 0.94331687537037 0.973163444814815 -0.973102422222222 -0.961109291851852 -0.962073755 0.836716954814815 0.892589783333333 0.834140003333333 -0.975103204259259 -0.986855629814815 -0.983965359814815 0.97445176037037 0.988886380185185 0.985743289074074 -0.931292216611111 -0.988085809814815 -0.931292216611111 -0.988085809814815 -0.960786430740741 -0.978383241851852 -0.947031781666667 -0.911439122592593 -0.982698213703704 -0.987708940185185 -0.952464881481481 -0.946380971111111 -0.962154454259259 -0.949718268462963 -0.975356721111111 -0.985459387777778 -0.980079292592593 -0.944366881666667 -0.980261236296296 -0.990776493888889 -0.972711979259259 -0.980311644814815 -0.975094739444444 -0.956182500185185 -0.965807466666667 -0.992865332407407 -0.989607709259259 -0.972985522407407 -0.937187975962963 -0.962411655925926 -0.958037119259259 -0.969865833148148 -0.947100325185185 -0.975750456851852 -0.982543631666667 -0.987039551666667
5 "LAYING" -0.965934509615385 -0.969295613269231 -0.968562516346154 0.809767371346154 0.676765281730769 0.83164248 -0.945695336153846 -0.985964053846154 -0.977076645 -0.446211562884615 0.961919760192308 0.260012211538462 -0.983307862115385 -0.964560430961538 -0.985419368461538 0.981052836538462 0.972456385192308 0.981511104615385 -0.979498706538461 -0.977427370576923 -0.960583776923077 0.834683100961538 0.899554300961538 0.829895861346154 -0.983422257692308 -0.983759479230769 -0.989679592307692 0.983493995769231 0.985290772115385 0.990739704038462 -0.958612786346154 -0.985942511923077 -0.958612786346154 -0.985942511923077 -0.977477145384615 -0.981073752115385 -0.958287921923077 -0.936456720961538 -0.98377138 -0.986491656923077 -0.964953893653846 -0.972909186730769 -0.965882191153846 -0.965621536923077 -0.981223812307692 -0.986574590576923 -0.985625270384615 -0.96624258 -0.986135599038461 -0.99065808 -0.981237429230769 -0.984004660576923 -0.980705769807692 -0.977257800961538 -0.963305738076923 -0.991170107307692 -0.984082579423077 -0.963338272307692 -0.962525369423077 -0.965617381730769 -0.976381934807692 -0.980916771346154 -0.959263063269231 -0.962505306346154 -0.983434493076923 -0.987233203461538
6 "LAYING" -0.934049422052632 -0.924644826385965 -0.925216100350877 0.762568251052632 0.659767627017544 0.788505305438597 -0.887746310350877 -0.959161956491228 -0.928130738421053 -0.45564956 0.951792929473684 0.161805470608772 -0.966341054736842 -0.933674494385965 -0.959646055263158 0.962113922105263 0.94411785754386 0.95228627 -0.955378225087719 -0.943634949473684 -0.939141878596491 0.818497114385965 0.868964016666667 0.812734645087719 -0.939611608245614 -0.958628819649123 -0.959579071578947 0.938153115964912 0.966490192631579 0.960376677192982 -0.897326245964912 -0.976730839473684 -0.897326245964912 -0.976730839473684 -0.950341934385965 -0.966448877719298 -0.920914497017544 -0.90601150577193 -0.953157001578947 -0.968249749122807 -0.932462941461404 -0.929711219929825 -0.924004748421053 -0.924828583508772 -0.962713941578947 -0.97506731122807 -0.968619159473684 -0.935717452807018 -0.963567540877193 -0.986192685614035 -0.966958115263158 -0.971087617368421 -0.962164978596491 -0.945365097894737 -0.947136774385965 -0.983134021754386 -0.973343939298246 -0.971196994736842 -0.905373979824561 -0.949171947719298 -0.951552664035088 -0.967602813333333 -0.928694890175439 -0.965543862105263 -0.955504654561404 -0.96906852368421
7 "LAYING" -0.93651361 -0.926262668653846 -0.952978365961539 0.7774886725 0.656384720769231 0.826605571153846 -0.914221270096154 -0.955543549230769 -0.961908984423077 -0.470957585769231 0.40374767 0.896470508653846 -0.980977756153846 -0.973093160192308 -0.972983064230769 0.975126828269231 0.974787314038462 0.960408079807692 -0.9601268225 -0.945071935384615 -0.955294890576923 0.826073048653846 0.874299148461538 0.822455106730769 -0.9738372325 -0.976483727307692 -0.988871878269231 0.9673505075 0.976145925192308 0.988825630192308 -0.907039513153846 -0.979660681538462 -0.907039513153846 -0.979660681538462 -0.967310932307692 -0.983078194423077 -0.918662459038462 -0.894002566807692 -0.971205137884615 -0.989622883269231 -0.931120580576923 -0.922917902307692 -0.953380646346154 -0.9480775775 -0.963902704615385 -0.979178515 -0.983560175384615 -0.975886145 -0.975072995192308 -0.989372166153846 -0.981541557115385 -0.975727912307692 -0.962348254423077 -0.939727873653846 -0.9588764125 -0.984736769615385 -0.980484943076923 -0.954539823846154 -0.910542462919231 -0.931057633461538 -0.965359228076923 -0.975666461538461 -0.918892518653846 -0.962260383269231 -0.969403035384615 -0.981696254423077
8 "LAYING" -0.94304121537037 -0.93489116 -0.932491454407407 0.786238779798148 0.660596667037037 0.818371494814815 -0.918873192333333 -0.957990036481482 -0.94183626337037 -0.377902831666667 0.598553834444444 0.703172528703704 -0.973253042222222 -0.976520952037037 -0.96608757462963 0.961858502037037 0.978563197037037 0.95405737462963 -0.965204017592593 -0.952039385740741 -0.96758975462963 0.839445762407407 0.879508115185185 0.829055554814815 -0.969924077407407 -0.974186451851852 -0.987601203703704 0.964805623333333 0.976783798333333 0.988201811296296 -0.91325033 -0.984411207777778 -0.91325033 -0.984411207777778 -0.962954517222222 -0.97821421037037 -0.932470764444444 -0.921318081296296 -0.969029111666667 -0.988250331111111 -0.940125298333333 -0.931236756962963 -0.931146497518519 -0.96179619037037 -0.964011223907407 -0.972898744074074 -0.975959911481481 -0.979170881666667 -0.968699222962963 -0.987990075555556 -0.98618956 -0.96779749962963 -0.967846360740741 -0.950316470925926 -0.970671966481481 -0.982269602777778 -0.979310243888889 -0.971384325 -0.917257979425926 -0.937401295185185 -0.963791094259259 -0.972999255555556 -0.93678697 -0.967821938333333 -0.971793279814815 -0.983660848148148
9 "LAYING" -0.94233309 -0.9162927764 -0.9407072854 0.7835273366 0.6503681078 0.8071825094 -0.9218210626 -0.9699944882 -0.9712046902 -0.5470816026 -0.0996191422 0.9508478186 -0.9647404702 -0.9639966798 -0.958562455 0.9606437354 0.9682498544 0.9435073662 -0.9422465098 -0.9266185314 -0.9615953704 0.802718184 0.853119834 0.80494439 -0.945329035 -0.9621702422 -0.9770761602 0.9404539988 0.967124424 0.9791977796 -0.91512680016 -0.9810389142 -0.91512680016 -0.9810389142 -0.9550268052 -0.9705916796 -0.8985578738 -0.941556967 -0.9528015598 -0.9832372978 -0.9409810272 -0.9128367508 -0.9419711636 -0.9571534146 -0.9749685236 -0.982644379 -0.9686013042 -0.966634136 -0.9597147176 -0.9842583504 -0.9794936724 -0.971983335 -0.9463891504 -0.9231319366 -0.965686312 -0.9882678196 -0.9683218056 -0.986151529 -0.921929738394 -0.9509524412 -0.9550947122 -0.9621162806 -0.9034005814 -0.9642008044 -0.9522904702 -0.9751072414
10 "LAYING" -0.968283685 -0.946454302068966 -0.95947148637931 0.819315516034483 0.664528589310345 0.815019588793103 -0.954531941896552 -0.966701156034483 -0.963045642431035 -0.415941638448276 -0.119156407241379 -0.035570275 -0.978007466724138 -0.966930793448276 -0.976256662586207 0.973646616206897 0.969703997586207 0.969101098793103 -0.961713199827586 -0.953660207586207 -0.971940597413793 0.815179613448276 0.879717560862069 0.817807286034483 -0.965900578103448 -0.966621040344828 -0.983949302758621 0.960789047586207 0.972051497068966 0.98525776862069 -0.940301654482759 -0.986447922241379 -0.940301654482759 -0.986447922241379 -0.967556980689655 -0.977226310344828 -0.927471165517241 -0.946931858965517 -0.959632931551724 -0.985019481551724 -0.96796803862069 -0.946229148258621 -0.959813667810345 -0.977089714655172 -0.981149218103448 -0.981463695344828 -0.978904364137931 -0.968120692241379 -0.978582339137931 -0.987597716034483 -0.984496162586207 -0.975082542068965 -0.96454456637931 -0.953453496551724 -0.975298797068965 -0.987561979482759 -0.978689227586207 -0.98078737 -0.944304974655172 -0.970961018965517 -0.965377553448276 -0.972701580172414 -0.933701315344828 -0.959446335172414 -0.960772875517241 -0.970112008965517
